# Cluster 0 (n=144)
word	score	p_in	p_out	in_docs	out_docs
2000	1.3032	0.103	0.028	10	134
president	1.2858	0.113	0.031	11	150
2004	1.2084	0.155	0.046	15	221
university	1.1439	0.144	0.046	14	220
against	1.1121	0.186	0.061	18	292
2003	1.0494	0.113	0.040	11	190
second	0.8158	0.113	0.050	11	240
end	0.7830	0.113	0.052	11	248
american	0.7173	0.134	0.065	13	313
first	0.7053	0.309	0.153	30	731
national	0.6730	0.124	0.063	12	302
2005	0.6459	0.144	0.076	14	362
then	0.6076	0.155	0.084	15	403
time	0.4956	0.196	0.119	19	571
new	0.4645	0.186	0.117	18	558
name	0.4517	0.103	0.066	10	314
history	0.4243	0.113	0.074	11	355
after	0.3685	0.165	0.114	16	546
made	0.3122	0.103	0.075	10	361
state	0.2876	0.124	0.093	12	444
years	0.2557	0.103	0.080	10	382
since	0.2197	0.103	0.083	10	396
all	0.0977	0.196	0.178	19	850
their	0.0175	0.196	0.192	19	921
they	0.0170	0.165	0.162	16	776

# Cluster 11 (n=47)
word	score	p_in	p_out	in_docs	out_docs
cite	3.9794	0.277	0.005	13	25
nat	3.5346	0.106	0.003	5	15
geocities	3.4700	0.106	0.003	5	16
publisher	3.3966	0.191	0.006	9	31
dembski	3.2470	0.106	0.004	5	20
journal	3.0801	0.234	0.011	11	52
press	3.0007	0.362	0.018	17	87
magazine	2.8627	0.170	0.010	8	47
evolution	2.8251	0.213	0.013	10	61
review	2.8181	0.149	0.009	7	43
note	2.4934	0.426	0.035	20	170
johnson	2.4816	0.106	0.009	5	43
intelligent	2.4252	0.213	0.019	10	91
author	2.4088	0.170	0.015	8	74
york	2.3400	0.234	0.023	11	109
asp	2.3027	0.149	0.015	7	72
origin	2.2539	0.106	0.011	5	54
1995	2.2355	0.106	0.011	5	55
edition	2.1824	0.106	0.012	5	58
news	2.1590	0.170	0.020	8	95
william	2.0795	0.149	0.019	7	90
2001	2.0685	0.191	0.024	9	117
1997	2.0685	0.170	0.022	8	104
page	2.0349	0.191	0.025	9	121
1996	2.0088	0.106	0.014	5	69
2005	1.9916	0.532	0.073	25	351
book	1.9781	0.277	0.038	13	185
science	1.9514	0.277	0.039	13	190
design	1.9194	0.234	0.034	11	166
date	1.8926	0.128	0.019	6	93
august	1.8819	0.128	0.019	6	94
december	1.8301	0.128	0.020	6	99
net	1.8200	0.128	0.021	6	100
1998	1.7885	0.106	0.018	5	86
2003	1.7843	0.234	0.039	11	190
robert	1.7655	0.106	0.018	5	88
year	1.7391	0.298	0.052	14	253
2004	1.7067	0.255	0.046	12	224
articles	1.6682	0.106	0.020	5	97
1999	1.6478	0.106	0.020	5	99
university	1.6242	0.234	0.046	11	223
scientific	1.5274	0.128	0.028	6	134
2000	1.4980	0.128	0.029	6	138
john	1.4601	0.191	0.044	9	215
mdash	1.4203	0.149	0.036	7	174
ndash	1.4013	0.128	0.031	6	152
america	1.3754	0.106	0.027	5	130
american	1.3690	0.255	0.065	12	314
natural	1.2593	0.106	0.030	5	146
fact	1.2457	0.106	0.031	5	148
times	1.1677	0.128	0.040	6	192
research	1.1553	0.106	0.034	5	162
how	1.1012	0.106	0.035	5	171
new	1.0781	0.340	0.116	16	560
history	0.9530	0.191	0.074	9	357
theory	0.9054	0.106	0.043	5	208
life	0.8911	0.106	0.044	5	211
list	0.7255	0.106	0.051	5	249
against	0.7082	0.128	0.063	6	304
english	0.6557	0.106	0.055	5	267
work	0.6225	0.106	0.057	5	276
world	0.5391	0.191	0.112	9	540
language	0.5364	0.128	0.075	6	361
see	0.4228	0.213	0.139	10	674
international	0.2841	0.149	0.112	7	542
may	0.2250	0.149	0.119	7	575

# Cluster 12 (n=142)
word	score	p_in	p_out	in_docs	out_docs
website	3.0789	0.197	0.009	28	43
net	2.7576	0.239	0.015	34	72
library	2.5916	0.141	0.011	20	50
online	2.5783	0.106	0.008	15	38
asp	2.5559	0.155	0.012	22	57
site	2.3039	0.190	0.019	27	90
articles	2.0335	0.134	0.018	19	83
news	1.9556	0.127	0.018	18	85
web	1.8617	0.113	0.018	16	83
page	1.6138	0.120	0.024	17	113
home	1.5155	0.127	0.028	18	132
official	1.5090	0.148	0.033	21	155
list	1.4591	0.204	0.047	29	225
history	1.4099	0.282	0.069	40	326
article	1.2607	0.183	0.052	26	246
how	1.2054	0.113	0.034	16	160
information	1.2014	0.176	0.053	25	251
internet	1.0785	0.120	0.041	17	193
group	0.9928	0.134	0.050	19	235
american	0.9297	0.162	0.064	23	303
about	0.8961	0.225	0.092	32	436
university	0.8269	0.106	0.046	15	219
2005	0.8224	0.169	0.074	24	352
english	0.7999	0.120	0.054	17	255
international	0.7257	0.225	0.109	32	517
law	0.7026	0.106	0.052	15	248
see	0.5879	0.246	0.137	35	649
world	0.4653	0.176	0.111	25	524
new	0.1829	0.141	0.117	20	556

# Cluster 13 (n=40)
word	score	p_in	p_out	in_docs	out_docs
clown	4.3899	0.100	0.001	4	6
posse	4.3899	0.100	0.001	4	6
insane	3.4096	0.100	0.003	4	16
1994	3.1867	0.300	0.012	12	60
1995	3.0615	0.225	0.011	9	51
1998	3.0044	0.325	0.016	13	78
movie	3.0043	0.200	0.010	8	48
song	3.0043	0.125	0.006	5	30
1996	2.9398	0.250	0.013	10	64
movies	2.9242	0.100	0.005	4	26
1987	2.9134	0.175	0.010	7	46
1993	2.8990	0.225	0.012	9	60
jack	2.8501	0.100	0.006	4	28
1972	2.8501	0.100	0.006	4	28
die	2.8220	0.125	0.007	5	36
1992	2.7812	0.200	0.012	8	60
1985	2.7679	0.125	0.008	5	38
film	2.7506	0.375	0.024	15	116
1997	2.6759	0.300	0.021	12	100
