# Cluster 0 (n=144)
word	score	p_in	p_out	in_docs	out_docs
protein	3.5583	0.120	0.003	24	16
insulin	3.5013	0.170	0.005	34	24
cell	3.4407	0.180	0.006	36	27
immune	3.3865	0.120	0.004	24	19
blood	2.8568	0.145	0.008	29	39
treatment	2.6175	0.120	0.009	24	41
levels	2.5025	0.120	0.010	24	46
species	2.4174	0.115	0.010	23	48
water	1.9381	0.135	0.019	27	91
types	1.9003	0.110	0.016	22	77
produced	1.7788	0.105	0.018	21	83
human	1.4383	0.135	0.032	27	150
type	1.3535	0.105	0.027	21	127
cases	1.2362	0.100	0.029	20	136
small	1.1639	0.145	0.045	29	212
can	1.1465	0.490	0.156	98	729
very	1.1322	0.165	0.053	33	249
usually	1.0924	0.135	0.045	27	212
like	1.0885	0.170	0.057	34	268
control	1.0379	0.120	0.043	24	199
important	1.0329	0.120	0.043	24	200
less	1.0260	0.115	0.041	23	193
high	1.0131	0.130	0.047	26	221
using	0.9645	0.130	0.050	26	232
common	0.9559	0.135	0.052	27	243
different	0.9104	0.155	0.062	31	292
systems	0.8759	0.100	0.042	20	195
form	0.8730	0.135	0.056	27	264
much	0.8353	0.130	0.056	26	264
several	0.7773	0.125	0.057	25	269
called	0.7603	0.180	0.084	36	394
because	0.7416	0.165	0.079	33	368
large	0.7296	0.105	0.051	21	237
when	0.7143	0.250	0.122	50	573
these	0.7057	0.295	0.146	59	682
such	0.6973	0.335	0.167	67	781
system	0.6877	0.195	0.098	39	459
most	0.6867	0.320	0.161	64	754
into	0.6787	0.240	0.122	48	570
other	0.6672	0.410	0.210	82	985
some	0.6566	0.320	0.166	64	777
used	0.6526	0.290	0.151	58	707
often	0.6375	0.160	0.085	32	396
than	0.6324	0.240	0.128	48	597
there	0.6296	0.275	0.147	55	686
may	0.6246	0.215	0.115	43	539
two	0.5805	0.250	0.140	50	655
more	0.5803	0.290	0.162	58	760
example	0.5777	0.145	0.081	29	381
well	0.5558	0.140	0.080	28	376
through	0.5172	0.115	0.069	23	321
known	0.5165	0.150	0.089	30	419
both	0.4914	0.140	0.086	28	401
use	0.4800	0.175	0.108	35	507
even	0.4665	0.110	0.069	22	323
they	0.4558	0.250	0.158	50	742
being	0.4479	0.120	0.077	24	359
however	0.4364	0.190	0.123	38	575
many	0.4293	0.230	0.150	46	701
also	0.4284	0.415	0.270	83	1266
has	0.4072	0.345	0.230	69	1075
been	0.4012	0.245	0.164	49	768
will	0.3963	0.120	0.081	24	378
each	0.3170	0.100	0.073	20	341
their	0.2526	0.245	0.190	49	891
any	0.2436	0.115	0.090	23	422
all	0.1978	0.215	0.176	43	826
image	0.1817	0.125	0.104	25	488
number	0.1772	0.115	0.096	23	451
one	0.1541	0.225	0.193	45	903
only	0.1516	0.170	0.146	34	684
about	0.1439	0.110	0.095	22	446
people	0.1279	0.100	0.088	20	412
but	0.1067	0.240	0.216	48	1010
would	0.0437	0.110	0.105	22	493
see	0.0358	0.145	0.140	29	655
between	0.0083	0.115	0.114	23	534
over	0.0078	0.110	0.109	22	511

# Cluster 21 (n=49)
word	score	p_in	p_out	in_docs	out_docs
bounded	5.6876	0.122	0.000	6	2
overline	5.4371	0.143	0.001	7	3
inverse	4.5909	0.204	0.002	10	10
radic	4.5906	0.122	0.001	6	6
converge	4.5904	0.102	0.001	5	5
converges	4.5904	0.102	0.001	5	5
decoration	4.2542	0.102	0.001	5	7
rarr	4.2343	0.143	0.002	7	10
isomorphism	4.0801	0.122	0.002	6	10
integers	4.0157	0.184	0.003	9	16
rational	3.9848	0.122	0.002	6	11
minus	3.9344	0.286	0.006	14	27
irrational	3.8978	0.102	0.002	5	10
suppose	3.8178	0.122	0.003	6	13
interval	3.6467	0.143	0.004	7	18
algebraic	3.6355	0.102	0.003	5	13
continuous	3.4518	0.163	0.005	8	25
ring	3.3384	0.122	0.004	6	21
theorem	3.3183	0.143	0.005	7	25
log	3.3102	0.102	0.004	5	18
false	3.2562	0.102	0.004	5	19
spaces	3.2562	0.102	0.004	5	19
element	3.1825	0.224	0.009	11	45
formally	3.1249	0.122	0.005	6	26
sub	2.9987	0.490	0.024	24	118
integral	2.9537	0.143	0.007	7	36
sum	2.8967	0.184	0.010	9	49
mathematics	2.8936	0.265	0.015	13	71
sup	2.8813	0.347	0.019	17	94
positive	2.8736	0.143	0.008	7	39
integer	2.8685	0.102	0.006	5	28
identity	2.8483	0.143	0.008	7	40
function	2.7831	0.408	0.025	20	122
exists	2.7812	0.184	0.011	9	55
math	2.7196	0.327	0.022	16	104
zero	2.7195	0.163	0.011	8	52
elements	2.6717	0.224	0.016	11	75
domain	2.6454	0.163	0.012	8	56
limit	2.6219	0.122	0.009	6	43
constant	2.5631	0.102	0.008	5	38
irreducible	2.5372	0.102	0.008	5	39
definition	2.5259	0.184	0.015	9	71
let	2.4512	0.122	0.011	6	51
real	2.2805	0.245	0.025	12	121
hence	2.2689	0.102	0.011	5	51
numbers	2.2437	0.265	0.028	13	136
value	2.1372	0.224	0.026	11	128
consider	2.1064	0.102	0.012	5	60
then	2.1013	0.653	0.080	32	386
product	2.0946	0.143	0.018	7	85
say	2.0714	0.143	0.018	7	87
defined	2.0620	0.224	0.029	11	138
functions	2.0264	0.122	0.016	6	78
test	1.9241	0.102	0.015	5	72
examples	1.8738	0.143	0.022	7	106
every	1.8258	0.184	0.030	9	143
above	1.6931	0.143	0.026	7	127
must	1.6469	0.224	0.043	11	209
set	1.6389	0.265	0.052	13	249
here	1.6365	0.102	0.020	5	96
given	1.6125	0.184	0.037	9	177
written	1.5311	0.122	0.026	6	128
example	1.4508	0.347	0.081	17	393
does	1.3376	0.184	0.048	9	233
terms	1.3256	0.102	0.027	5	131
any	1.3025	0.327	0.089	16	429
non	1.2712	0.184	0.052	9	249
text	1.2712	0.122	0.034	6	166
space	1.1958	0.122	0.037	6	179
note	1.1682	0.122	0.038	6	184
number	1.0992	0.286	0.095	14	460
possible	1.0709	0.102	0.035	5	169
series	1.0360	0.102	0.036	5	175
all	0.9864	0.469	0.175	23	846
called	0.9514	0.224	0.087	11	419
following	0.9236	0.122	0.049	6	235
where	0.8876	0.204	0.084	10	406
theory	0.8633	0.102	0.043	5	208
can	0.8413	0.388	0.167	19	808
such	0.8156	0.388	0.172	19	829
there	0.7778	0.327	0.150	16	725
order	0.7498	0.102	0.048	5	233
small	0.7370	0.102	0.049	5	236
only	0.5982	0.265	0.146	13	705
because	0.5610	0.143	0.082	7	394
since	0.5483	0.143	0.083	7	399
two	0.5353	0.245	0.143	12	693
same	0.5224	0.122	0.073	6	351
another	0.5139	0.102	0.061	5	295
one	0.2347	0.245	0.194	12	936
well	0.2119	0.102	0.083	5	399
system	0.1847	0.122	0.102	6	492
also	0.1688	0.327	0.276	16	1333
see	0.1546	0.163	0.140	8	676
than	0.0790	0.143	0.132	7	638
some	0.0648	0.184	0.172	9	832

# Cluster 22 (n=40)
word	score	p_in	p_out	in_docs	out_docs
algebra	4.5335	0.250	0.003	10	13
isomorphic	4.3899	0.100	0.001	4	6
polynomial	4.3899	0.100	0.001	4	6
factorization	4.3256	0.125	0.002	5	8
isomorphism	4.2849	0.150	0.002	6	10
multiplication	4.2849	0.150	0.002	6	10
trivial	4.1025	0.100	0.002	4	8
calculus	3.8794	0.100	0.002	4	10
algebraic	3.8403	0.125	0.003	5	13
linear	3.7545	0.150	0.004	6	17
theorem	3.6974	0.200	0.005	8	24
matrix	3.6972	0.100	0.002	4	12
ring	3.5432	0.150	0.004	6	21
rings	3.5431	0.100	0.003	4	14
algorithms	3.5431	0.100	0.003	4	14
algorithm	3.5231	0.175	0.005	7	25
abstract	3.4967	0.150	0.005	6	22
integer	3.4838	0.175	0.005	7	26
mathematics	3.4247	0.425	0.014	17	67
inverse	3.4096	0.100	0.003	4	16
geometry	3.4096	0.100	0.003	4	16
infty	3.4096	0.100	0.003	4	16
quantum	3.2274	0.125	0.005	5	24
integral	3.1585	0.175	0.007	7	36
ideal	3.1378	0.100	0.004	4	21
finite	3.0912	0.100	0.005	4	22
domain	2.8502	0.200	0.012	8	56
binary	2.8150	0.100	0.006	4	29
functions	2.7947	0.250	0.015	10	74
infinite	2.7592	0.150	0.010	6	46
involving	2.7166	0.100	0.007	4	32
map	2.6816	0.175	0.012	7	58
properties	2.6366	0.150	0.011	6	52
zero	2.5989	0.150	0.011	6	54
function	2.5832	0.350	0.026	14	128
math	2.5027	0.275	0.023	11	109
computing	2.4935	0.100	0.008	4	40
analysis	2.3802	0.125	0.012	5	56
limit	2.3757	0.100	0.009	4	45
prime	2.3726	0.175	0.016	7	79
factors	2.3112	0.125	0.012	5	60
measure	2.3112	0.100	0.010	4	48
sup	2.2409	0.200	0.021	8	103
element	2.2312	0.100	0.011	4	52
let	2.2121	0.100	0.011	4	53
elements	2.2059	0.150	0.017	6	80
unique	2.1934	0.100	0.011	4	54
real	2.1731	0.225	0.026	9	124
theory	2.1419	0.350	0.041	14	199
definition	2.0881	0.125	0.015	5	75
numbers	2.0518	0.225	0.029	9	140
space	2.0350	0.275	0.036	11	174
problem	2.0111	0.125	0.017	5	81
sense	1.9629	0.125	0.018	5	85
find	1.8838	0.125	0.019	5	92
operations	1.8004	0.100	0.017	4	80
field	1.7921	0.150	0.025	6	121
set	1.7596	0.300	0.052	12	250
always	1.7516	0.125	0.022	5	105
product	1.7051	0.100	0.018	4	88
value	1.6976	0.150	0.027	6	133
sub	1.6753	0.150	0.028	6	136
number	1.6203	0.475	0.094	19	455
point	1.6004	0.175	0.035	7	171
structure	1.5873	0.100	0.020	4	99
given	1.5547	0.175	0.037	7	179
complex	1.4911	0.100	0.023	4	109
itself	1.4784	0.125	0.029	5	138
defined	1.4358	0.125	0.030	5	144
particular	1.3867	0.100	0.025	4	121
line	1.2997	0.100	0.027	4	132
therefore	1.2846	0.100	0.028	4	134
form	1.2302	0.200	0.058	8	283
example	1.2051	0.275	0.082	11	399
important	1.2035	0.150	0.045	6	218
every	1.1853	0.100	0.031	4	148
case	1.1639	0.125	0.039	5	189
computer	1.1481	0.125	0.040	5	192
general	1.1294	0.200	0.065	8	313
means	0.9951	0.100	0.037	4	179
can	0.9908	0.450	0.167	18	809
then	0.9797	0.225	0.084	9	409
two	0.9676	0.375	0.143	15	690
usually	0.9503	0.125	0.048	5	234
result	0.9146	0.100	0.040	4	194
large	0.8722	0.125	0.052	5	253
both	0.8330	0.200	0.087	8	421
called	0.8306	0.200	0.087	8	422
systems	0.8306	0.100	0.044	4	211
less	0.8259	0.100	0.044	4	212
one	0.7932	0.425	0.192	17	931
like	0.7119	0.125	0.061	5	297
such	0.7090	0.350	0.172	14	834
between	0.6871	0.225	0.113	9	548
system	0.6812	0.200	0.101	8	490
group	0.6610	0.100	0.052	4	250
any	0.6599	0.175	0.090	7	438
using	0.6452	0.100	0.052	4	254
non	0.6452	0.100	0.052	4	254
size	0.6452	0.100	0.052	4	254
all	0.6089	0.325	0.177	13	856
see	0.5856	0.250	0.139	10	674
very	0.5549	0.100	0.057	4	278
same	0.5420	0.125	0.073	5	352
could	0.5406	0.100	0.058	4	282
another	0.4921	0.100	0.061	4	296
when	0.4540	0.200	0.127	8	615
will	0.4217	0.125	0.082	5	397
also	0.3083	0.375	0.276	15	1334
each	0.3048	0.100	0.074	4	357
there	0.2785	0.200	0.151	8	733
used	0.2463	0.200	0.156	8	757
being	0.2450	0.100	0.078	4	379
may	0.2319	0.150	0.119	6	576
because	0.1986	0.100	0.082	4	397
however	0.1794	0.150	0.125	6	607
more	0.1786	0.200	0.167	8	810
most	0.1786	0.200	0.167	8	810
only	0.1754	0.175	0.147	7	711
often	0.1328	0.100	0.088	4	424
known	0.0844	0.100	0.092	4	445

# Cluster 23 (n=74)
word	score	p_in	p_out	in_docs	out_docs
sector	3.6628	0.122	0.003	9	15
agriculture	3.5377	0.122	0.004	9	17
industries	3.3628	0.108	0.004	8	18
ithaca	2.8829	0.149	0.008	11	40
1990s	2.7876	0.122	0.007	9	36
growth	2.7670	0.162	0.010	12	49
student	2.7568	0.108	0.007	8	33
1980s	2.6598	0.149	0.010	11	50
students	2.5644	0.108	0.008	8	40
industrial	2.4161	0.203	0.018	15	87
products	2.3107	0.122	0.012	9	58
financial	2.2103	0.108	0.012	8	57
rate	2.1590	0.108	0.012	8	60
private	2.1410	0.149	0.017	11	84
industry	2.0339	0.135	0.018	10	85
resources	2.0338	0.108	0.014	8	68
largest	1.9992	0.135	0.018	10	88
economic	1.9927	0.189	0.026	14	124
college	1.8967	0.108	0.016	8	78
late	1.8805	0.149	0.023	11	109
per	1.8173	0.122	0.020	9	95
founded	1.7990	0.108	0.018	8	86
japan	1.7944	0.270	0.045	20	216
recent	1.7678	0.149	0.025	11	122
population	1.7610	0.162	0.028	12	134
higher	1.6995	0.108	0.020	8	95
million	1.5994	0.108	0.022	8	105
government	1.5672	0.243	0.051	18	244
country	1.5247	0.189	0.041	14	198
began	1.5036	0.122	0.027	9	130
held	1.4998	0.108	0.024	8	116
current	1.4904	0.149	0.033	11	161
areas	1.4585	0.122	0.028	9	136
today	1.4014	0.108	0.027	8	128
japanese	1.3767	0.135	0.034	10	164
public	1.3706	0.162	0.041	12	198
period	1.3706	0.108	0.027	8	132
technology	1.3481	0.108	0.028	8	135
development	1.2886	0.149	0.041	11	197
available	1.2836	0.108	0.030	8	144
major	1.2500	0.176	0.050	13	242
000	1.1727	0.122	0.038	9	181
university	1.0649	0.135	0.047	10	224
large	1.0625	0.149	0.051	11	247
around	1.0433	0.122	0.043	9	206
area	1.0330	0.108	0.038	8	185
through	1.0139	0.189	0.069	14	330
high	1.0085	0.135	0.049	10	237
among	0.9959	0.122	0.045	9	216
2004	0.9462	0.122	0.047	9	227
year	0.9275	0.135	0.053	10	257
its	0.9247	0.473	0.188	35	902
long	0.8947	0.122	0.050	9	239
although	0.8883	0.149	0.061	11	294
over	0.8762	0.257	0.107	19	514
early	0.8561	0.135	0.057	10	276
well	0.8469	0.189	0.081	14	390
include	0.8373	0.108	0.047	8	225
general	0.8353	0.149	0.064	11	310
about	0.8329	0.216	0.094	16	452
years	0.8014	0.176	0.079	13	379
several	0.7187	0.122	0.059	9	285
has	0.7181	0.473	0.231	35	1109
another	0.6979	0.122	0.061	9	291
2005	0.6720	0.149	0.076	11	365
had	0.6542	0.243	0.126	18	608
many	0.6309	0.284	0.151	21	726
those	0.6151	0.108	0.058	8	281
american	0.6123	0.122	0.066	9	317
much	0.6115	0.108	0.059	8	282
including	0.6060	0.122	0.066	9	319
were	0.5990	0.351	0.193	26	928
them	0.5966	0.122	0.067	9	322
been	0.5389	0.284	0.166	21	796
world	0.5308	0.189	0.111	14	535
during	0.5078	0.135	0.081	10	391
than	0.5024	0.216	0.131	16	629
other	0.4841	0.351	0.217	26	1041
state	0.4738	0.149	0.093	11	445
also	0.4566	0.432	0.274	32	1317
while	0.4154	0.122	0.080	9	386
new	0.4056	0.176	0.117	13	563
such	0.3429	0.243	0.173	18	830
number	0.3367	0.135	0.097	10	464
called	0.3286	0.122	0.088	9	421
being	0.3265	0.108	0.078	8	375
people	0.3238	0.122	0.088	9	423
more	0.3213	0.230	0.167	17	801
known	0.2844	0.122	0.092	9	440
because	0.2796	0.108	0.082	8	393
since	0.2670	0.108	0.083	8	398
some	0.2312	0.216	0.172	16	825
but	0.2247	0.270	0.216	20	1038
most	0.1937	0.203	0.167	15	803
only	0.1807	0.176	0.147	13	705
these	0.1486	0.176	0.151	13	728
two	0.1178	0.162	0.144	12	693
one	0.1092	0.216	0.194	16	932
between	0.0649	0.122	0.114	9	548
united	0.0613	0.122	0.114	9	550
would	0.0249	0.108	0.105	8	507

# Cluster 24 (n=215)
word	score	p_in	p_out	in_docs	out_docs
fleming	4.1187	0.158	0.003	34	12
novels	3.5157	0.144	0.004	31	20
novel	3.2946	0.191	0.007	41	33
films	3.1645	0.167	0.007	36	33
bond	3.0970	0.242	0.011	52	51
film	2.9092	0.279	0.015	60	71
james	2.7686	0.270	0.017	58	79
ian	2.4754	0.107	0.009	23	42
himself	2.3673	0.135	0.013	29	59
george	2.0743	0.102	0.013	22	60
him	2.0700	0.214	0.027	46	126
series	1.9491	0.205	0.029	44	136
story	1.9426	0.126	0.018	27	84
character	1.8837	0.140	0.021	30	99
young	1.8736	0.112	0.017	24	80
father	1.8311	0.107	0.017	23	80
man	1.7704	0.107	0.018	23	85
his	1.7679	0.726	0.124	156	578
book	1.7349	0.191	0.034	41	157
books	1.7339	0.112	0.020	24	92
short	1.6505	0.112	0.021	24	100
written	1.5552	0.112	0.024	24	110
john	1.5516	0.186	0.039	40	184
became	1.4155	0.172	0.042	37	195
published	1.3611	0.107	0.027	23	128
her	1.3430	0.112	0.029	24	136
later	1.1844	0.181	0.055	39	259
work	1.1599	0.167	0.052	36	245
had	1.1570	0.372	0.117	80	546
year	1.1529	0.158	0.050	34	233
after	1.0946	0.316	0.106	68	494
life	1.0887	0.121	0.041	26	190
years	0.9838	0.200	0.075	43	349
although	0.9339	0.149	0.058	32	273
would	0.8911	0.242	0.099	52	463
own	0.8712	0.112	0.047	24	218
name	0.8666	0.149	0.063	32	292
first	0.8642	0.349	0.147	75	686
university	0.8613	0.107	0.045	23	211
three	0.8244	0.126	0.055	27	257
last	0.8121	0.102	0.045	22	212
while	0.8080	0.172	0.077	37	358
early	0.7750	0.121	0.056	26	260
who	0.7471	0.247	0.117	53	545
during	0.6326	0.149	0.079	32	369
since	0.6191	0.149	0.080	32	374
several	0.6110	0.107	0.058	23	271
made	0.6101	0.135	0.073	29	342
time	0.6073	0.214	0.117	46	544
well	0.5900	0.144	0.080	31	373
new	0.5852	0.205	0.114	44	532
where	0.5584	0.144	0.082	31	385
been	0.5426	0.279	0.162	60	757
before	0.5268	0.102	0.060	22	282
many	0.5256	0.251	0.148	54	693
were	0.5104	0.316	0.190	68	886
into	0.5092	0.205	0.123	44	574
part	0.4794	0.116	0.072	25	336
history	0.4646	0.116	0.073	25	341
through	0.4417	0.107	0.069	23	321
then	0.4048	0.126	0.084	27	391
image	0.4004	0.153	0.103	33	480
over	0.3914	0.158	0.107	34	499
when	0.3713	0.181	0.125	39	584
but	0.3676	0.307	0.213	66	992
most	0.3670	0.237	0.164	51	767
two	0.3436	0.200	0.142	43	662
known	0.3285	0.126	0.090	27	422
only	0.2991	0.195	0.145	42	676
under	0.2770	0.102	0.078	22	362
world	0.2616	0.144	0.111	31	518
more	0.2573	0.214	0.165	46	772
often	0.2543	0.112	0.087	24	404
one	0.2309	0.242	0.192	52	896
has	0.2010	0.284	0.232	61	1083
their	0.1984	0.233	0.191	50	890
they	0.1438	0.186	0.161	40	752
also	0.1261	0.312	0.275	67	1282
about	0.1151	0.107	0.095	23	445
however	0.1106	0.140	0.125	30	583
united	0.0968	0.126	0.114	27	532
than	0.0217	0.135	0.132	29	616

# Cluster 25 (n=103)
word	score	p_in	p_out	in_docs	out_docs
feast	5.5396	0.107	0.000	11	2
jesus	3.5268	0.107	0.003	11	15
bishop	3.5268	0.107	0.003	11	15
ibn	3.5268	0.107	0.003	11	15
christ	3.4315	0.117	0.004	12	18
mary	3.3262	0.117	0.004	12	20
mythology	3.1439	0.126	0.005	13	26
son	2.8339	0.214	0.013	22	60
christianity	2.8338	0.107	0.006	11	30
god	2.8256	0.272	0.016	28	77
church	2.8042	0.204	0.012	21	59
wife	2.7385	0.117	0.008	12	36
islam	2.7111	0.117	0.008	12	37
catholic	2.6920	0.136	0.009	14	44
king	2.6242	0.214	0.015	22	74
mother	2.4901	0.126	0.010	13	50
greek	2.3613	0.155	0.015	16	70
paris	2.3432	0.107	0.010	11	49
christian	2.2968	0.146	0.015	15	70
believe	2.1746	0.107	0.012	11	58
believed	2.0454	0.107	0.014	11	66
father	1.9876	0.136	0.019	14	89
eastern	1.8657	0.107	0.017	11	79
him	1.8645	0.204	0.032	21	151
her	1.7718	0.175	0.030	18	142
death	1.7652	0.165	0.028	17	135
return	1.7578	0.107	0.018	11	88
his	1.5059	0.631	0.140	65	669
day	1.4682	0.155	0.036	16	171
book	1.4058	0.155	0.038	16	182
did	1.3523	0.155	0.040	16	192
life	1.3115	0.155	0.042	16	200
according	1.3115	0.117	0.031	12	150
back	1.2653	0.107	0.030	11	144
century	1.2420	0.194	0.056	20	268
who	1.2018	0.388	0.117	40	558
city	1.1982	0.117	0.035	12	168
through	1.0522	0.194	0.068	20	324
important	1.0503	0.126	0.044	13	211
great	0.9991	0.117	0.043	12	205
before	0.9469	0.155	0.060	16	288
after	0.9260	0.282	0.112	29	533
later	0.8999	0.146	0.059	15	283
another	0.8928	0.146	0.060	15	285
modern	0.8541	0.117	0.050	12	237
second	0.8457	0.117	0.050	12	239
last	0.8280	0.107	0.047	11	223
one	0.7407	0.398	0.190	41	907
had	0.7378	0.262	0.125	27	599
against	0.7085	0.126	0.062	13	297
being	0.7045	0.155	0.077	16	367
time	0.6767	0.233	0.118	24	566
then	0.6765	0.165	0.084	17	401
there	0.6718	0.291	0.149	30	711
known	0.6615	0.175	0.090	18	431
first	0.6440	0.291	0.153	30	731
years	0.6131	0.146	0.079	15	377
even	0.5971	0.126	0.069	13	332
although	0.5516	0.107	0.062	11	294
were	0.5392	0.330	0.193	34	920
into	0.4899	0.204	0.125	21	597
since	0.4284	0.126	0.082	13	393
part	0.3772	0.107	0.073	11	350
history	0.3630	0.107	0.074	11	355
during	0.3586	0.117	0.081	12	389
out	0.3463	0.107	0.076	11	361
but	0.3368	0.301	0.215	31	1027
may	0.3336	0.165	0.118	17	565
they	0.3277	0.223	0.161	23	769
also	0.3230	0.379	0.274	39	1310
some	0.3097	0.233	0.171	24	817
both	0.2891	0.117	0.087	12	417
called	0.2867	0.117	0.087	12	418
while	0.2845	0.107	0.080	11	384
would	0.2597	0.136	0.105	14	501
most	0.2487	0.214	0.167	22	796
where	0.2313	0.107	0.085	11	405
about	0.1997	0.117	0.095	12	456
been	0.1521	0.194	0.167	20	797
all	0.1389	0.204	0.177	21	848
see	0.1056	0.155	0.140	16	668
between	0.1033	0.126	0.114	13	544
more	0.0983	0.184	0.167	19	799
over	0.0664	0.117	0.109	12	521
only	0.0559	0.155	0.147	16	702
their	0.0086	0.194	0.193	20	920
two	0.0086	0.146	0.144	15	690

# Cluster 26 (n=34)
word	score	p_in	p_out	in_docs	out_docs
idealism	5.1601	0.324	0.002	11	9
aristotle	5.1133	0.206	0.001	7	6
idealist	4.9590	0.147	0.001	5	5
inertia	4.4741	0.235	0.003	8	13
newton	4.1975	0.206	0.003	7	15
minds	4.0432	0.118	0.002	4	10
motion	3.9481	0.235	0.005	8	22
mind	3.5989	0.294	0.008	10	39
infinity	3.4557	0.176	0.006	6	27
universe	3.3843	0.176	0.006	6	29
object	3.3504	0.324	0.011	11	55
notion	3.3503	0.118	0.004	4	20
berkeley	3.3015	0.118	0.004	4	21
wrote	3.1475	0.235	0.010	8	49
nothing	3.0880	0.118	0.005	4	26
explanation	2.9788	0.118	0.006	4	29
ideas	2.9674	0.176	0.009	6	44
resistance	2.8496	0.118	0.007	4	33
philosophy	2.7787	0.206	0.013	7	62
reality	2.7626	0.118	0.007	4	36
idea	2.7489	0.235	0.015	8	73
argument	2.7443	0.176	0.011	6	55
infinite	2.7192	0.147	0.010	5	47
irreducible	2.6573	0.118	0.008	4	40
physics	2.6375	0.147	0.011	5	51
argued	2.6375	0.147	0.011	5	51
rest	2.6085	0.176	0.013	6	63
principle	2.5990	0.147	0.011	5	53
exist	2.5364	0.206	0.016	7	79
itself	2.4750	0.324	0.027	11	132
mental	2.4262	0.147	0.013	5	63
matter	2.3949	0.147	0.013	5	65
kind	2.3759	0.118	0.011	4	53
our	2.3328	0.176	0.017	6	83
god	2.3209	0.206	0.020	7	98
knowledge	2.3208	0.118	0.012	4	56
theory	2.3057	0.412	0.041	14	199
concept	2.1963	0.206	0.023	7	111
thought	2.1749	0.147	0.017	5	81
reason	2.1718	0.118	0.013	4	65
complexity	2.1718	0.118	0.013	4	65
things	2.0977	0.118	0.014	4	70
natural	2.0765	0.235	0.029	8	143
definition	2.0155	0.118	0.016	4	76
david	2.0155	0.118	0.016	4	76
actually	2.0050	0.147	0.020	5	96
intelligent	2.0050	0.147	0.020	5	96
yet	1.9768	0.118	0.016	4	79
mathematics	1.9642	0.118	0.017	4	80
real	1.9075	0.176	0.026	6	127
laws	1.8919	0.118	0.018	4	86
sense	1.8919	0.118	0.018	4	86
outside	1.8136	0.118	0.019	4	93
defined	1.7888	0.176	0.029	6	143
meaning	1.7018	0.118	0.021	4	104
therefore	1.6790	0.147	0.027	5	133
what	1.6317	0.265	0.052	9	251
late	1.5926	0.118	0.024	4	116
view	1.5340	0.118	0.025	4	123
instead	1.5340	0.118	0.025	4	123
could	1.5332	0.265	0.057	9	277
never	1.5020	0.118	0.026	4	127
book	1.4942	0.176	0.040	6	192
scientific	1.4336	0.118	0.028	4	136
forces	1.4262	0.118	0.028	4	137
design	1.4219	0.147	0.035	5	172
movement	1.3904	0.118	0.029	4	142
published	1.3558	0.118	0.030	4	147
fact	1.3423	0.118	0.031	4	149
his	1.3321	0.559	0.147	19	715
work	1.2927	0.206	0.057	7	274
own	1.2879	0.176	0.049	6	236
does	1.2879	0.176	0.049	6	236
science	1.2811	0.147	0.041	5	198
century	1.2675	0.206	0.058	7	281
modern	1.2586	0.176	0.050	6	243
force	1.2586	0.118	0.033	4	162
term	1.2562	0.147	0.042	5	203
did	1.2562	0.147	0.042	5	203
rather	1.2104	0.118	0.035	4	170
space	1.1477	0.118	0.037	4	181
way	1.1098	0.147	0.048	5	235
much	1.1027	0.176	0.059	6	284
history	1.0225	0.206	0.074	7	359
law	1.0164	0.147	0.053	5	258
there	1.0101	0.412	0.150	14	727
first	0.9829	0.412	0.154	14	747
being	0.9763	0.206	0.078	7	376
world	0.9728	0.294	0.111	10	539
must	0.9710	0.118	0.045	4	216
any	0.9595	0.235	0.090	8	437
thus	0.9572	0.118	0.045	4	219
three	0.9382	0.147	0.058	5	279
because	0.9295	0.206	0.081	7	394
without	0.9125	0.118	0.047	4	229
same	0.8909	0.176	0.072	6	351
out	0.8491	0.176	0.075	6	366
still	0.8168	0.118	0.052	4	252
state	0.7988	0.206	0.093	7	449
only	0.7968	0.324	0.146	11	707
time	0.7924	0.265	0.120	9	581
however	0.7536	0.265	0.125	9	604
even	0.7404	0.147	0.070	5	340
called	0.7020	0.176	0.087	6	424
its	0.6962	0.382	0.191	13	924
part	0.6945	0.147	0.073	5	356
form	0.6868	0.118	0.059	4	287
would	0.6754	0.206	0.105	7	508
made	0.6668	0.147	0.075	5	366
can	0.5569	0.294	0.169	10	817
based	0.5441	0.118	0.068	4	331
some	0.5399	0.294	0.171	10	831
who	0.5241	0.206	0.122	7	591
all	0.5068	0.294	0.177	10	859
known	0.4736	0.147	0.092	5	444
each	0.4685	0.118	0.074	4	357
more	0.4614	0.265	0.167	9	809
about	0.4317	0.147	0.096	5	463
one	0.4188	0.294	0.193	10	938
but	0.4042	0.324	0.216	11	1047
has	0.3252	0.324	0.234	11	1133
such	0.3060	0.235	0.173	8	840
use	0.2834	0.147	0.111	5	537
between	0.2558	0.147	0.114	5	552
also	0.2467	0.353	0.276	12	1337
been	0.2088	0.206	0.167	7	810
into	0.1510	0.147	0.126	5	613
system	0.1437	0.118	0.102	4	494
than	0.1079	0.147	0.132	5	640
over	0.0753	0.118	0.109	4	529
were	0.0526	0.206	0.195	7	947
two	0.0183	0.147	0.144	5	700

# Cluster 27 (n=67)
word	score	p_in	p_out	in_docs	out_docs
supernatural	4.8932	0.194	0.001	13	7
dembski	4.5155	0.209	0.002	14	11
irreducibly	4.4749	0.164	0.002	11	9
proponents	4.3580	0.373	0.005	25	23
designer	4.2139	0.239	0.004	16	17
behe	4.0633	0.254	0.004	17	21
